ortho_id	clade1	clade2	clade3	clade4
clust_0730	1	1	0.928571428571429	1
clust_0731	1	1	0.928571428571429	1
clust_0732	1	1	0.928571428571429	1
clust_0733	1	0.875	1	1
clust_0734	1	1	1	0.5
clust_0735	1	1	0.928571428571429	1
clust_0736	0.909090909090909	1	1	1
clust_0737	1	1	1.07142857142857	0
clust_0738	1	1	1	0.5
clust_0739	1	1	0.928571428571429	1
clust_0740	1	1	0.928571428571429	1
clust_0741	1	1	0.928571428571429	1
clust_0742	1	1	0.928571428571429	1
clust_0743	0.909090909090909	1	1	1
clust_0744	1	1	0.928571428571429	1
clust_0745	1	1	0.928571428571429	1
clust_0746	1	0.875	1	1
clust_0747	1	1	0.928571428571429	1
clust_0748	1	1	0.928571428571429	1
clust_0749	1	1	0.928571428571429	1
clust_0750	0.909090909090909	1	1	1
clust_0751	1	1	0.928571428571429	1
clust_0752	0.909090909090909	1	1	1
clust_0753	1	1	0.928571428571429	1
clust_0754	1	1	0.928571428571429	1
clust_0755	1	1	0.928571428571429	1
clust_0756	1	1	0.928571428571429	1
clust_0757	1	0.875	1	1
clust_0758	0.909090909090909	1	1	1
clust_0759	0.909090909090909	1	1	1
clust_0760	1	1	0.928571428571429	1
clust_0761	1	0.875	1	1
clust_0762	0.909090909090909	1	1	1
clust_0763	0.909090909090909	1	1	1
clust_0764	1	1	0.928571428571429	1
clust_0765	1	0.875	1	1
clust_0766	1	1	0.928571428571429	1
clust_0767	0.909090909090909	1	1	1
clust_0768	0.909090909090909	1	1	1
clust_0769	0.909090909090909	1	1	1
clust_0770	1	0.875	1	1
clust_0771	1	1	0.928571428571429	1
clust_0772	1	1	0.928571428571429	1
clust_0773	0.909090909090909	1	1	1
clust_0774	0.909090909090909	1	1	1
clust_0775	1	1	0.928571428571429	1
clust_0776	0.909090909090909	1	1	1
clust_0777	0.909090909090909	1	1	1
clust_0778	0.909090909090909	1	1	1
clust_0779	0.909090909090909	1	1	1
clust_0780	0.909090909090909	1	1	1
clust_0781	0.909090909090909	1	1	1
clust_0782	1	1	0.928571428571429	1
clust_0783	1	1	1	0.5
clust_0784	1	1	0.928571428571429	1
clust_0785	1	0.875	1	1
clust_0786	0.909090909090909	1	1	1
clust_0787	1	1	1	0.5
clust_0788	1	1	0.928571428571429	1
clust_0789	1	1	0.928571428571429	1
clust_0790	1	1	0.928571428571429	1
clust_0791	1	1	0.928571428571429	1
clust_0792	1	1	0.928571428571429	1
clust_0793	1	1	0.928571428571429	1
clust_0794	1	0.875	1	1
clust_0795	1	0.875	1	1
clust_0796	1	1	0.928571428571429	1
clust_0797	1	0.875	1	1
clust_0798	1	1	0.928571428571429	1
clust_0799	1	1	0.928571428571429	1
clust_0800	1	0.875	1	1
clust_0801	1	0.875	1	1
clust_0802	1	1	0.928571428571429	1
clust_0803	1	1	0.928571428571429	1
clust_0804	1	1	0.928571428571429	1
clust_0805	1	1	1	0.5
clust_0806	1	1	0.928571428571429	1
clust_0807	1	0.875	1	1
clust_0808	1	1	0.928571428571429	1
clust_0809	0.818181818181818	1	1	1
